Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power,Power wear,Temperature difference,Temperature power,Machine failure,Type_L,Type_M
298.1,308.6,1551.0,42.8,0.0,66382.79999999999,0.0,10.5,0.0001581735027748152,0,False,True
298.2,308.7,1408.0,46.3,3.0,65190.399999999994,195571.19999999998,10.5,0.00016106666012173572,0,True,False
298.1,308.5,1498.0,49.4,5.0,74001.2,370006.0,10.399999999999977,0.00014053826154170442,0,True,False
298.2,308.6,1433.0,39.5,7.0,56603.5,396224.5,10.400000000000034,0.00018373422138207062,0,True,False
298.2,308.7,1408.0,40.0,9.0,56320.0,506880.0,10.5,0.0001864346590909091,0,True,False
298.1,308.6,1425.0,41.9,11.0,59707.5,656782.5,10.5,0.0001758573043587489,0,False,True
298.1,308.6,1558.0,42.4,14.0,66059.2,924828.7999999999,10.5,0.00015894833724901301,0,True,False
298.1,308.6,1527.0,40.2,16.0,61385.4,982166.4,10.5,0.00017105044521987313,0,True,False
298.3,308.7,1667.0,28.6,18.0,47676.200000000004,858171.6000000001,10.399999999999977,0.00021813819054370895,0,False,True
298.5,309.0,1741.0,28.0,21.0,48748.0,1023708.0,10.5,0.00021539345203905802,0,False,True
298.4,308.9,1782.0,23.9,24.0,42589.799999999996,1022155.2,10.5,0.00024653790344166915,0,False,False
298.6,309.1,1423.0,44.3,29.0,63038.899999999994,1828128.0999999999,10.5,0.00016656382011741958,0,False,False
298.6,309.1,1339.0,51.1,34.0,68422.90000000001,2326378.6,10.5,0.00015345739511187043,0,False,True
298.6,309.2,1742.0,30.0,37.0,52260.0,1933620.0,10.599999999999966,0.00020283199387676935,0,False,True
298.6,309.2,2035.0,19.6,40.0,39886.0,1595440.0,10.599999999999966,0.0002657574086145506,0,True,False
298.6,309.2,1542.0,48.4,42.0,74632.8,3134577.6,10.599999999999966,0.00014202870587730817,0,True,False
298.6,309.2,1311.0,46.6,44.0,61092.6,2688074.4,10.599999999999966,0.00017350710233317892,0,False,True
298.7,309.2,1410.0,45.6,47.0,64296.0,3021912.0,10.5,0.00016330720418066441,0,False,True
298.8,309.2,1306.0,54.5,50.0,71177.0,3558850.0,10.399999999999977,0.000146114615676412,0,False,False
